Inyo County,18546,36.561977,-117.403927
Kern County,839631,35.346629,-118.729506
Kings County,152982,36.072478,-119.81553
Lake County,64665,39.094802,-122.746757
Lassen County,34895,40.721089,-120.629931
Los Angeles County,9818605,34.196398,-118.261862
Madera County,150865,37.210039,-119.749852
Marin County,252409,38.051817,-122.745974
Mariposa County,18251,37.570033,-119.91286
Mendocino County,87841,39.432388,-123.442881
Merced County,255793,37.194806,-120.722802
Modoc County,9686,41.592918,-120.71837
Mono County,14202,37.915836,-118.875167
Monterey County,415057,36.240107,-121.315573
Napa County,136484,38.507351,-122.325995
Nevada County,98764,39.295191,-120.773446
Orange County,3010232,33.675687,-117.777207
Placer County,348432,39.062032,-120.722718
Plumas County,20007,39.99517,-120.829515
Riverside County,2189641,33.729828,-116.002239
Sacramento County,1418788,38.450011,-121.340441
San Benito County,55269,36.610702,-121.085296
San Bernardino County,2035210,34.85722,-116.181197
San Diego County,3095313,33.023604,-116.776117
San Francisco County,805235,37.727239,-123.032229
San Joaquin County,685306,37.935034,-121.272237
San Luis Obispo County,269637,35.385227,-120.44754
San Mateo County,718451,37.414664,-122.371542
Santa Barbara County,423895,34.537378,-120.038485
Santa Clara County,1781642,37.220777,-121.690622
Santa Cruz County,262382,37.012488,-122.007205
Shasta County,177223,40.760521,-122.04355
Sierra County,3240,39.576925,-120.521993
Siskiyou County,44900,41.587986,-122.533287
Solano County,413344,38.267226,-121.939594
Sonoma County,483878,38.532574,-122.945194
Stanislaus County,514453,37.562384,-121.002656
Sutter County,94737,39.035257,-121.702758
Tehama County,63463,40.126156,-122.232276
Trinity County,13786,40.647724,-123.114404
Tulare County,442179,36.230453,-118.780542
Tuolumne County,55365,38.021451,-119.964708
Ventura County,823318,34.358741,-119.133143
Yolo County,200849,38.679268,-121.903178
Yuba County,72155,39.270026,-121.34428
Adams County,441603,39.874325,-104.331872
Alamosa County,15445,37.568442,-105.788041
Arapahoe County,572003,39.644632,-104.331733
Archuleta County,12084,37.202395,-107.050863
Baca County,3788,37.303144,-102.535457
Bent County,6499,37.931891,-103.077584
Boulder County,294567,40.094826,-105.398382
Broomfield County,55889,39.953382,-105.052125
